Original_Log,Cleaned_Log,Cluster_ID,Category
"2016-09-28 04:30:31, Info                  CSI    00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",info                  csi     iadvancedinstallerawarestore_resolvependingtransactions  call    flags     progress   null  phase     pdwdisposition    xbfd,-1,unstructured_log
"2016-09-28 04:32:17, Info                  CBS    Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION]",info                  cbs    failed to create backup log cab   hresult   x   error_invalid_function,-1,unstructured_log
"2016-09-28 04:40:53, Info                  CBS    Reboot mark refs incremented to: 1",info                  cbs    reboot mark refs incremented to,-1,unstructured_log
"2016-09-28 04:40:53, Info                  CSI    00000009@2016/9/27:20:40:53.744 CSI Transaction @0x47e9e0 initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/""",info                  csi            csi transaction  xee initialized for deployment engine  ddc d d d cb  with flags  and client id    ti _,-1,unstructured_log
"2016-09-28 04:40:54, Info                  CSI    0000000a Performing 1 operations; 1 are not lock/unlock and follow:",info                  csi    a performing  operations   are not lock unlock and follow,-1,unstructured_log
"2016-09-28 04:40:54, Info                  CSI    0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7",info                  csi    c icsitransaction  commit calling istorependingtransaction  apply   coldpatching false applyflags,-1,unstructured_log
"2016-09-28 04:40:54, Info                  CBS    Scavenge: Completed, disposition: 0X1",info                  cbs    scavenge  completed  disposition  x,-1,unstructured_log
"2016-09-28 04:40:55, Info                  CBS    Reboot mark refs: 0",info                  cbs    reboot mark refs,-1,unstructured_log
"2016-09-29 00:00:46, Info                  CSI    00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0x116fa70",info                  csi     iadvancedinstallerawarestore_resolvependingtransactions  call    flags     progress   null  phase     pdwdisposition    xfa,-1,unstructured_log
"2016-09-29 00:00:46, Info                  CBS    Disabling manifest caching, because the image is not writeable.",info                  cbs    disabling manifest caching  because the image is not writeable,-1,unstructured_log
"2016-09-29 00:01:03, Info                  CSI    00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End",info                  csi            populatecomponentfamilieskey   end,-1,unstructured_log
"2016-09-29 00:03:25, Info                  CBS    Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION]",info                  cbs    failed to create backup log cab   hresult   x   error_invalid_function,-1,unstructured_log
